### Blocks 1
1,3
1,4
1,5
2,6
3,7
4,7
5,8
6,9
7,10
8,10
9,10

### Blocks 2
1,3
1,4
2,5
3,6
4,7
5,8
6,9
7,9
8,9

### Blocks 3
1,2
1,3
1,4
2,5
3,6
4,6
5,7
6,7

### Blocks 4
1,3
2,4
3,5
3,6
4,6
5,7
6,7

### Blocks 5
1,2
1,3
1,4
1,5
1,6
2,7
2,8
3,8
4,9
4,10
5,9
5,10
5,11
6,10
6,11
7,12
8,12
9,12
10,12
11,12

### Blocks 6
1,2
1,3
1,4
1,5
2,6
3,6
4,7
5,8
6,9
7,9
8,9

### Blocks 7
1,3
1,4
2,5
3,6
4,7
5,7
6,8
7,8

### Blocks 8
1,2
1,3
2,4
2,5
2,6
3,6
3,7
4,8
5,8
6,8
7,8

### Blocks 9
1,2
1,3
1,4
2,5
3,5
4,6
5,7
6,7

### Blocks 10
1,2
1,3
1,4
2,5
3,6
3,7
4,7
5,8
6,8
7,8

### Blocks 11
1,2
1,3
1,4
2,5
3,5
3,6
4,6
5,7
6,7

### Blocks 12
1,2
1,3
1,4
2,5
3,5
3,6
4,6
5,7
6,7

### Blocks 13
1,2
1,3
1,4
2,5
2,6
2,7
3,5
3,7
4,7
5,8
6,8
7,8

### Blocks 14
1,2
1,3
1,4
2,5
2,6
3,6
4,6
5,7
6,7

### Blocks 15
1,2
2,3
3,4
4,5

### Blocks 16
1,2
2,3

### Blocks 17
1,3
2,4
3,5
4,5
5,6
6,7

### Blocks 18
1,3
2,4
3,5
4,5
5,6
6,7

### Blocks 19
1,2
2,3

### Blocks 20
1,2
2,4
3,5
3,6
4,7
4,8
5,8
6,9
7,10
8,10
9,10

### Blocks 21
1,4
1,5
2,5
3,6
4,7
5,7
6,7

### Blocks 22
1,2
2,3
3,4
4,5

### Blocks 23
1,2
1,3
2,4
3,5
4,6
5,6
6,7

### Blocks 24
1,2
2,3

### Blocks 25
1,2
2,3
3,4
4,5

### Blocks 26
1,2
1,3
2,4
3,5
3,6
4,7
5,7
6,8
7,9
8,9

### Blocks 27
1,4
1,5
2,5
3,6
4,7
5,7
6,7

### Blocks 28
1,2
1,3
1,4
2,5
2,6
2,7
3,5
3,6
3,7
4,8
4,9
4,10
4,11
5,12
6,13
7,14
8,12
9,13
10,15
11,14
12,16
13,16
14,16
15,16

### Blocks 29
1,2
1,3
1,4
2,5
2,6
3,7
4,8
4,9
5,10
6,11
7,10
8,10
9,11
10,12
11,12

### Blocks 30
1,2
1,3
2,4
3,5
3,6
4,7
5,7
6,8
7,9
8,9

### Blocks 31
1,4
1,5
2,5
3,6
4,7
5,7
6,7

### Blocks 32
1,2
1,3
1,4
1,5
2,6
3,6
3,8
4,7
5,8
6,9
7,9
8,9
9,10

### Blocks 33
1,2
1,3
2,4
3,5
4,6
5,6
6,7

### Blocks 34
1,2
2,3

### Blocks 35
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,10
2,11
2,12
2,13
2,14
2,15
3,16
4,16
4,17
5,18
6,18
7,18
8,19
9,19
10,20
11,20
12,20
13,20
14,21
15,21
16,22
17,22
18,22
19,22
20,22
21,22
22,23

### Blocks 36
1,2
1,3
2,4
3,5
4,6
5,6
6,7

### Blocks 37
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
4,11
5,12
6,13
7,13
8,13
9,14
10,14
11,15
12,15
13,15
14,15
15,16
